sr,tender_number,title,description,ppra_category,reference,organization,location,status,advertised_date,closing_date,closing_time,detail_url,category,closing_dt,scraped_at
1,TS0000012455E,Raowire,,Equipments,FCS/LKI/TE/021/26,Sui Northern Gas Pipelines Limited (SNGPL),Karak - Pakistan,Published,"Aug 30, 2026","Sep 14, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012455E,Goods/Supplies,2026-09-14,2026-08-30T06:06:58.732314
2,TS0000012446E,CLEANING & SWEEPING SERVICES CONTRACT FOR PQA AREAS / OFFICES & HOUSING COMPLEX 2026-28,,Repair/Maintenance,https://epads.gov.pk/opportunities/federal/procurements/96877,Ministry of Maritime Affairs,Karachi - Pakistan,Published,"Aug 29, 2026","Sep 24, 2026",11:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012446E,Services,2026-09-24,2026-08-30T06:06:58.732314
3,TS0000011046E,Signal wire & etc,Corrigendum TENDER ARE INVITED FOR MISC ITEMS Department:...,Civil Works,20/0001/00-0/1-2026,Pakistan Railways,Lahore - Pakistan,PublishedCorrigendum,"Aug 29, 2026","Sep 21, 2026",10:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011046E,Construction/Works,2026-09-21,2026-08-30T06:06:58.732314
4,TS0000012444E,"NCB-246 Construction of 01 No Line Bay at 132 kV Grid Station Lakarmar (controlling 2nd circuit Lakarmar to Tamman) under IESCO Multiyear Tariff (Rs. 2,624,715/- including PST)",NCB-246 Construction of 01 No Line Bay at 132 kV...,Civil Works,"NCB-246 Construction of 01 No Line Bay at 132 kV Grid Station Lakarmar (controlling 2nd circuit Lakarmar to Tamman) under IESCO Multiyear Tariff (Rs. 2,624,715/- including PST)",Islamabad Electric Supply Company (IESCO),Islamabad - Pakistan,Published,"Aug 29, 2026","Sep 21, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012444E,Construction/Works,2026-09-21,2026-08-30T06:06:58.732314
5,TS0000012447E,Hiring of Investment Advisor Separately Managed Account (SMA) — Investment Management Services,Daanish University is an emerging institution in...,Services,P104326,Ministry of Federal Education and Professional Training,Islamabad - Pakistan,Published,"Aug 29, 2026","Sep 17, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012447E,Services,2026-09-17,2026-08-30T06:06:58.732314
6,TS0000012452E,Misc Civil Items,,Civil Goods,FCS/LKI/TE/019/26,Sui Northern Gas Pipelines Limited (SNGPL),Karak - Pakistan,Published,"Aug 29, 2026","Sep 17, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012452E,Other,2026-09-17,2026-08-30T06:06:58.732314
7,TS0000012454E,HARDWARE MATERIAL unclaimable items,,Equipments,FCS/LKI/TE/020/26,Sui Northern Gas Pipelines Limited (SNGPL),Karak - Pakistan,Published,"Aug 29, 2026","Sep 17, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012454E,Goods/Supplies,2026-09-17,2026-08-30T06:06:58.732314
8,TS0000012440E,Misc Electrical Items,,Electrical Items,FCS/DIK/TE/044/26,Sui Northern Gas Pipelines Limited (SNGPL),Karak - Pakistan,Published,"Aug 29, 2026","Sep 16, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012440E,Energy/Utilities,2026-09-16,2026-08-30T06:06:58.732314
9,TS0000012449E,Misc plumbing material,,Consumable Items,FCS/LKI/TE/018/26,Sui Northern Gas Pipelines Limited (SNGPL),Karak - Pakistan,Published,"Aug 29, 2026","Sep 16, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012449E,Goods/Supplies,2026-09-16,2026-08-30T06:06:58.732314
10,TS0000012435E,Misc Hardware Material,,Equipments,FCS/DIK/TE/041/26,Sui Northern Gas Pipelines Limited (SNGPL),Karak - Pakistan,Published,"Aug 29, 2026","Sep 15, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012435E,Goods/Supplies,2026-09-15,2026-08-30T06:06:58.732314
11,TS0000012434E,HARDWARE MATERIAL unclaimable items,,Miscellaneous,FCS/DIK/TE/040/26,Sui Northern Gas Pipelines Limited (SNGPL),Karak - Pakistan,Published,"Aug 29, 2026","Sep 14, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000012434E,Goods/Supplies,2026-09-14,2026-08-30T06:06:58.732314
